Timestamp,PacketId,Pelvis_AccX,Pelvis_AccY,Pelvis_AccZ,Pelvis_GyrX,Pelvis_GyrY,Pelvis_GyrZ,Pelvis_QuatW,Pelvis_QuatX,Pelvis_QuatY,Pelvis_QuatZ,Left_AccX,Left_AccY,Left_AccZ,Left_GyrX,Left_GyrY,Left_GyrZ,Left_QuatW,Left_QuatX,Left_QuatY,Left_QuatZ,Right_AccX,Right_AccY,Right_AccZ,Right_GyrX,Right_GyrY,Right_GyrZ,Right_QuatW,Right_QuatX,Right_QuatY,Right_QuatZ,GaitEvent_LeftStance,GaitEvent_RightStance,GaitEvent_IsWalking,MotionContext_State,MotionContext_Confidence,PD_DirectionDeg,PD_Stability,PD_IsValid,FPA_Left_Deg,FPA_Left_Error,FPA_Left_OnTarget,FPA_Right_Deg,FPA_Right_Error,FPA_Right_OnTarget
1783420172406,1234,9.7093,0.0661,1.3443,0.0006,-0.0006,0.0012,0.740800,-0.117000,-0.646600,-0.139200,-0.3027,0.0426,9.6969,0.0111,0.0016,0.0055,0.943100,0.005600,0.013200,-0.332200,-0.2929,-0.0507,9.7749,0.0020,0.0048,0.0030,0.867200,-0.009100,0.011600,0.497800,False,False,False,Straight,0.500,0.00,0.000,False,,,False,,,False
1783420172427,1236,9.7097,0.0750,1.3343,0.0024,0.0012,0.0018,0.740800,-0.117000,-0.646600,-0.139200,-0.2853,0.0347,9.6997,0.0120,0.0009,0.0053,0.943200,0.005700,0.013100,-0.332000,-0.2643,-0.0543,9.7475,0.0007,0.0031,0.0024,0.867200,-0.009100,0.011600,0.497700,False,False,False,Straight,0.500,0.00,0.000,False,,,False,,,False
1783420172438,1237,9.7092,0.0550,1.3353,0.0006,0.0019,0.0024,0.740800,-0.117000,-0.646600,-0.139200,-0.2969,0.0290,9.6917,0.0118,0.0030,0.0072,0.943200,0.005700,0.013200,-0.332000,-0.2838,-0.0521,9.7365,0.0019,0.0030,0.0049,0.867200,-0.009100,0.011600,0.497700,False,False,False,Straight,0.500,0.00,0.000,False,,,False,,,False
1783420172448,1238,9.6999,0.0743,1.3346,0.0018,-0.0012,0.0019,0.740800,-0.117000,-0.646600,-0.139200,-0.2878,0.0305,9.6921,0.0117,0.0017,0.0068,0.943300,0.005700,0.013300,-0.331600,-0.2850,-0.0510,9.7462,0.0036,0.0017,0.0062,0.867200,-0.009100,0.011600,0.497700,False,False,False,Straight,0.500,0.00,0.000,False,,,False,,,False
1783420172459,1239,9.7200,0.0928,1.3341,0.0018,-0.0006,0.0025,0.740800,-0.117000,-0.646700,-0.139200,-0.2869,0.0469,9.7092,0.0117,0.0010,0.0056,0.943300,0.005700,0.013200,-0.331600,-0.2747,-0.0416,9.7465,0.0031,0.0030,0.0055,0.867200,-0.009000,0.011600,0.497800,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False
1783420172470,1240,9.7191,0.0529,1.3261,0.0019,0.0043,0.0024,0.740800,-0.117000,-0.646600,-0.139200,-0.2995,0.0283,9.6937,0.0123,0.0015,0.0056,0.943100,0.005700,0.013200,-0.332100,-0.2868,-0.0597,9.7367,0.0012,0.0031,0.0055,0.867200,-0.009100,0.011600,0.497800,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False
1783420172481,1241,9.7099,0.0719,1.3160,0.0012,0.0000,0.0018,0.740800,-0.117000,-0.646600,-0.139200,-0.2998,0.0312,9.6937,0.0117,0.0011,0.0068,0.943200,0.005700,0.013300,-0.331900,-0.2773,-0.0503,9.7468,0.0024,0.0024,0.0062,0.867200,-0.009000,0.011600,0.497800,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False
1783420172492,1242,9.7090,0.0632,1.3554,0.0012,0.0000,0.0012,0.740800,-0.117000,-0.646600,-0.139200,-0.2794,0.0409,9.6925,0.0136,0.0020,0.0049,0.943200,0.005700,0.013300,-0.331900,-0.2854,-0.0291,9.7455,0.0025,0.0030,0.0049,0.867200,-0.009000,0.011600,0.497800,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False
1783420172503,1243,9.7097,0.0715,1.3261,0.0006,0.0025,0.0024,0.740800,-0.117000,-0.646600,-0.139200,-0.2815,0.0386,9.7136,0.0105,0.0012,0.0074,0.943200,0.005700,0.013200,-0.331800,-0.2800,-0.0588,9.7471,0.0013,0.0043,0.0042,0.867200,-0.009100,0.011600,0.497800,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False
1783420172513,1244,9.7195,0.0708,1.3265,0.0018,-0.0006,0.0012,0.740800,-0.117000,-0.646600,-0.139200,-0.2912,0.0408,9.7036,0.0129,0.0003,0.0063,0.943300,0.005700,0.013100,-0.331600,-0.2797,-0.0486,9.7467,0.0024,0.0024,0.0043,0.867200,-0.009000,0.011600,0.497800,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False
1783420172523,1245,9.6996,0.0717,1.3458,0.0025,0.0024,0.0018,0.740800,-0.117000,-0.646600,-0.139200,-0.2850,0.0257,9.7176,0.0118,0.0027,0.0048,0.943300,0.005800,0.013100,-0.331600,-0.2799,-0.0485,9.7370,0.0020,0.0042,0.0037,0.867200,-0.009000,0.011600,0.497800,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False
1783420172534,1246,9.7095,0.0603,1.3174,0.0012,0.0000,0.0018,0.740800,-0.117000,-0.646600,-0.139200,-0.2758,0.0273,9.7180,0.0130,0.0015,0.0056,0.943400,0.005800,0.013000,-0.331400,-0.2706,-0.0391,9.7470,0.0012,0.0031,0.0049,0.867200,-0.009100,0.011600,0.497800,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False
1783420172545,1247,9.7096,0.0700,1.3269,0.0006,0.0012,0.0018,0.740800,-0.117000,-0.646600,-0.139200,-0.3032,0.0378,9.6861,0.0122,0.0004,0.0063,0.943400,0.005800,0.013100,-0.331400,-0.2821,-0.0472,9.7467,0.0025,0.0030,0.0043,0.867200,-0.009000,0.011600,0.497800,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False
1783420172555,1248,9.7092,0.0601,1.3373,0.0012,0.0006,0.0024,0.740800,-0.117000,-0.646600,-0.139200,-0.2859,0.0349,9.7176,0.0123,0.0008,0.0050,0.943400,0.005800,0.013100,-0.331400,-0.2932,-0.0450,9.7557,0.0031,0.0036,0.0043,0.867200,-0.009000,0.011600,0.497800,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False
1783420172565,1249,9.7194,0.0688,1.3271,0.0018,-0.0024,0.0013,0.740800,-0.117000,-0.646700,-0.139100,-0.2966,0.0213,9.6810,0.0110,0.0005,0.0063,0.943300,0.005800,0.013100,-0.331500,-0.2837,-0.0354,9.7658,0.0012,0.0019,0.0049,0.867200,-0.009000,0.011600,0.497800,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False
1783420172575,1250,9.7193,0.0584,1.3175,0.0024,0.0012,0.0018,0.740800,-0.117000,-0.646700,-0.139100,-0.2859,0.0363,9.6985,0.0117,0.0012,0.0074,0.943300,0.005700,0.013100,-0.331700,-0.2670,-0.0568,9.7677,0.0005,0.0013,0.0067,0.867200,-0.009000,0.011500,0.497800,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False
1783420172596,1252,9.7098,0.0733,1.3268,0.0024,0.0003,0.0012,0.740800,-0.117000,-0.646700,-0.139100,-0.2773,0.0430,9.7084,0.0105,0.0018,0.0073,0.943200,0.005700,0.013100,-0.331900,-0.2843,-0.0348,9.7463,0.0025,0.0036,0.0055,0.867200,-0.009000,0.011500,0.497800,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False
1783420172607,1253,9.6999,0.0783,1.3365,0.0006,0.0019,0.0024,0.740800,-0.117000,-0.646700,-0.139100,-0.3067,0.0500,9.7071,0.0117,0.0018,0.0074,0.943200,0.005700,0.013100,-0.331900,-0.2755,-0.0249,9.7660,0.0012,0.0025,0.0055,0.867200,-0.009000,0.011500,0.497800,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False
1783420172628,1255,9.7094,0.0672,1.3371,0.0018,0.0012,0.0018,0.740800,-0.117000,-0.646700,-0.139100,-0.2949,0.0349,9.6965,0.0117,0.0016,0.0058,0.943200,0.005700,0.013200,-0.332000,-0.2836,-0.0485,9.7519,0.0019,0.0043,0.0055,0.867200,-0.009000,0.011500,0.497800,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False
1783420172638,1256,9.7195,0.0660,1.3181,0.0024,0.0012,0.0012,0.740800,-0.117000,-0.646700,-0.139100,-0.2835,0.0282,9.7240,0.0117,0.0016,0.0062,0.943200,0.005700,0.013200,-0.332000,-0.2794,-0.0437,9.7471,0.0019,0.0037,0.0055,0.867200,-0.009000,0.011500,0.497800,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False
1783420172649,1257,9.7096,0.0765,1.3374,0.0025,0.0018,0.0012,0.740800,-0.117000,-0.646700,-0.139100,-0.2917,0.0355,9.6929,0.0111,0.0016,0.0055,0.943200,0.005700,0.013100,-0.332000,-0.2797,-0.0330,9.7565,0.0025,0.0030,0.0043,0.867200,-0.009000,0.011500,0.497800,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False
1783420172659,1258,9.7000,0.0763,1.3278,0.0012,0.0006,0.0006,0.740800,-0.117000,-0.646700,-0.139100,-0.2892,0.0595,9.6983,0.0130,0.0013,0.0044,0.943200,0.005700,0.013100,-0.332000,-0.2912,-0.0409,9.7562,0.0031,0.0023,0.0043,0.867200,-0.009000,0.011500,0.497800,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False
1783420172670,1259,9.5935,0.0874,1.2951,0.0023,-0.0103,0.0045,0.740700,-0.117000,-0.646800,-0.139100,-0.2167,0.0474,9.5924,0.0075,-0.0064,0.0033,0.943200,0.005700,0.012900,-0.331900,-0.2313,-0.0329,9.6127,-0.0027,-0.0028,0.0030,0.867200,-0.009000,0.011400,0.497800,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False
1783420172680,1260,9.8775,0.0773,1.2512,0.0013,0.0085,0.0005,0.740800,-0.117000,-0.646700,-0.139100,-0.2607,0.0384,9.8746,0.0132,0.0036,0.0023,0.943100,0.005700,0.012900,-0.332100,-0.2455,-0.0504,9.9357,0.0015,0.0061,0.0018,0.867200,-0.009100,0.011400,0.497800,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False
1783420172690,1261,9.6281,0.0530,1.4838,0.0013,0.0037,0.0018,0.740800,-0.117000,-0.646700,-0.139100,-0.3824,0.0206,9.6475,0.0118,0.0014,0.0037,0.943200,0.005700,0.013000,-0.331800,-0.3695,-0.0528,9.7029,0.0020,0.0042,0.0012,0.867200,-0.009100,0.011500,0.497700,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False
1783420172701,1262,9.7297,0.0625,1.2892,0.0005,-0.0079,0.0026,0.740700,-0.117000,-0.646800,-0.139100,-0.2950,0.0370,9.7256,0.0115,-0.0019,0.0022,0.943200,0.005700,0.013000,-0.332000,-0.2833,-0.0415,9.7470,0.0025,0.0023,0.0025,0.867200,-0.009000,0.011400,0.497700,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False
1783420172711,1263,9.7200,0.0626,1.2971,0.0017,-0.0061,0.0020,0.740700,-0.117100,-0.646800,-0.139100,-0.2236,0.0422,9.6960,0.0121,-0.0021,0.0004,0.943300,0.005700,0.013000,-0.331700,-0.2275,-0.0571,9.7610,0.0008,0.0024,-0.0000,0.867300,-0.009100,0.011400,0.497700,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False
1783420172743,1266,9.7297,0.0816,1.3269,0.0019,0.0024,-0.0000,0.740700,-0.117100,-0.646800,-0.139100,-0.2974,0.0409,9.7032,0.0113,0.0007,0.0009,0.943200,0.005600,0.013000,-0.332000,-0.2769,-0.0456,9.7526,0.0020,0.0030,0.0009,0.867300,-0.009000,0.011400,0.497500,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False
1783420172753,1267,9.7008,0.0915,1.3166,0.0012,0.0006,0.0031,0.740700,-0.117100,-0.646800,-0.139100,-0.2834,0.0527,9.6953,0.0125,0.0021,-0.0007,0.943100,0.005600,0.013100,-0.332200,-0.2549,-0.0340,9.7193,0.0014,0.0043,0.0030,0.867300,-0.009100,0.011400,0.497500,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False
1783420172764,1268,9.7181,0.0433,1.3679,0.0012,0.0025,0.0018,0.740700,-0.117100,-0.646800,-0.139100,-0.2995,0.0216,9.7128,0.0123,0.0006,0.0032,0.943100,0.005600,0.013100,-0.332200,-0.3028,-0.0658,9.7764,-0.0005,0.0031,0.0012,0.867400,-0.009100,0.011400,0.497500,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False
1783420172774,1269,9.7096,0.0717,1.3376,0.0006,-0.0006,0.0000,0.740700,-0.117100,-0.646800,-0.139100,-0.2966,0.0413,9.6990,0.0123,0.0006,0.0032,0.943100,0.005600,0.013100,-0.332100,-0.2783,-0.0404,9.7378,0.0020,0.0030,0.0012,0.867400,-0.009100,0.011400,0.497400,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False
1783420172784,1270,9.7102,0.0704,1.3079,0.0024,-0.0030,0.0025,0.740700,-0.117100,-0.646800,-0.139100,-0.2678,0.0378,9.6908,0.0124,0.0018,0.0025,0.943000,0.005600,0.013100,-0.332300,-0.2598,-0.0422,9.7391,0.0014,0.0042,0.0024,0.867400,-0.009100,0.011400,0.497400,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False
1783420172795,1271,9.7188,0.0511,1.3384,0.0001,0.0061,0.0023,0.740700,-0.117100,-0.646800,-0.139100,-0.2793,0.0328,9.6925,0.0117,0.0009,0.0050,0.943000,0.005600,0.013100,-0.332400,-0.2643,-0.0710,9.7400,0.0007,0.0037,0.0036,0.867400,-0.009100,0.011400,0.497400,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False
1783420172805,1272,9.6998,0.0707,1.3380,0.0024,-0.0006,0.0019,0.740700,-0.117100,-0.646800,-0.139100,-0.2924,0.0205,9.7058,0.0123,0.0017,0.0074,0.942900,0.005600,0.013100,-0.332700,-0.2939,-0.0470,9.7666,-0.0005,0.0050,0.0066,0.867400,-0.009200,0.011400,0.497400,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False
1783420172815,1273,9.7289,0.0699,1.3485,0.0019,0.0024,0.0012,0.740700,-0.117100,-0.646800,-0.139100,-0.2996,0.0460,9.7106,0.0117,0.0020,0.0098,0.942900,0.005600,0.013100,-0.332700,-0.2832,-0.0397,9.7474,-0.0037,0.0059,0.0102,0.867400,-0.009200,0.011400,0.497500,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False
1783420172826,1274,9.7095,0.0592,1.3198,0.0006,0.0019,0.0024,0.740700,-0.117100,-0.646700,-0.139100,-0.2824,0.0346,9.7041,0.0131,0.0038,0.0096,0.943000,0.005600,0.013100,-0.332500,-0.2774,-0.0611,9.7487,-0.0043,0.0066,0.0120,0.867300,-0.009300,0.011400,0.497600,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False
1783420172836,1275,9.7096,0.0692,1.3295,0.0012,0.0006,-0.0006,0.740700,-0.117100,-0.646800,-0.139100,-0.2925,0.0371,9.6940,0.0129,0.0015,0.0111,0.943100,0.005700,0.013100,-0.332300,-0.2887,-0.0608,9.7479,-0.0036,0.0071,0.0102,0.867300,-0.009400,0.011400,0.497600,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False
1783420172846,1276,9.7198,0.0677,1.3004,0.0030,-0.0006,0.0025,0.740700,-0.117100,-0.646800,-0.139100,-0.2737,0.0394,9.7045,0.0117,0.0019,0.0086,0.943200,0.005700,0.013100,-0.331900,-0.2685,-0.0439,9.7486,0.0019,0.0043,0.0073,0.867300,-0.009400,0.011400,0.497600,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False
1783420172856,1277,9.7191,0.0685,1.3396,0.0012,0.0025,0.0030,0.740700,-0.117100,-0.646800,-0.139100,-0.2937,0.0452,9.7035,0.0119,0.0041,0.0059,0.943200,0.005700,0.013100,-0.331800,-0.2772,-0.0328,9.7379,0.0030,0.0030,0.0062,0.867200,-0.009400,0.011400,0.497700,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False
1783420172866,1278,9.7184,0.0590,1.3601,0.0013,0.0024,0.0006,0.740700,-0.117100,-0.646700,-0.139100,-0.3069,0.0285,9.6978,0.0111,0.0010,0.0056,0.943200,0.005700,0.013100,-0.331900,-0.2825,-0.0706,9.7391,0.0043,0.0017,0.0038,0.867300,-0.009400,0.011400,0.497600,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False
1783420172877,1279,9.7094,0.0679,1.3305,0.0030,-0.0006,0.0006,0.740700,-0.117100,-0.646800,-0.139100,-0.2960,0.0393,9.6961,0.0117,0.0010,0.0056,0.943400,0.005700,0.013200,-0.331500,-0.2813,-0.0498,9.7482,0.0043,0.0029,0.0050,0.867300,-0.009300,0.011400,0.497700,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False
1783420172888,1280,9.7195,0.0772,1.3303,0.0024,0.0006,0.0018,0.740700,-0.117100,-0.646800,-0.139100,-0.2690,0.0307,9.7091,0.0130,0.0015,0.0056,0.943300,0.005700,0.013200,-0.331700,-0.2713,-0.0404,9.7485,0.0026,0.0042,0.0031,0.867300,-0.009300,0.011400,0.497600,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False
1783420172898,1281,9.7198,0.0760,1.3112,0.0012,0.0025,0.0024,0.740700,-0.117100,-0.646700,-0.139100,-0.2871,0.0461,9.7060,0.0117,0.0016,0.0055,0.943300,0.005700,0.013300,-0.331700,-0.2621,-0.0308,9.7586,0.0026,0.0042,0.0031,0.867300,-0.009300,0.011400,0.497600,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False
1783420172918,1283,9.7190,0.0615,1.3269,0.0012,0.0009,0.0006,0.740700,-0.117100,-0.646700,-0.139100,-0.2922,0.0219,9.7029,0.0118,0.0021,0.0049,0.943200,0.005700,0.013200,-0.331800,-0.2854,-0.0519,9.7483,0.0035,0.0044,0.0034,0.867300,-0.009300,0.011400,0.497600,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False
1783420172928,1284,9.7191,0.0662,1.3319,0.0030,0.0006,0.0025,0.740700,-0.117100,-0.646800,-0.139100,-0.2895,0.0415,9.6890,0.0124,0.0023,0.0067,0.943200,0.005700,0.013200,-0.332000,-0.2779,-0.0569,9.7491,0.0007,0.0043,0.0048,0.867300,-0.009300,0.011400,0.497600,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False
1783420172949,1286,9.7194,0.0750,1.3224,0.0012,0.0012,0.0012,0.740700,-0.117100,-0.646700,-0.139100,-0.2872,0.0402,9.7104,0.0121,0.0019,0.0061,0.943200,0.005700,0.013200,-0.332100,-0.2971,-0.0339,9.7568,0.0013,0.0037,0.0036,0.867300,-0.009300,0.011400,0.497600,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False
1783420172959,1287,9.7184,0.0456,1.3334,0.0024,0.0006,0.0031,0.740700,-0.117100,-0.646700,-0.139100,-0.2960,0.0288,9.7240,0.0118,0.0025,0.0085,0.943200,0.005700,0.013200,-0.332000,-0.2913,-0.0645,9.7486,-0.0013,0.0039,0.0097,0.867300,-0.009400,0.011400,0.497600,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False
1783420172969,1288,9.7092,0.0649,1.3326,0.0024,-0.0000,0.0019,0.740700,-0.117100,-0.646800,-0.139100,-0.2948,0.0367,9.7028,0.0118,0.0029,0.0116,0.943200,0.005800,0.013200,-0.331900,-0.2785,-0.0375,9.7386,-0.0037,0.0047,0.0102,0.867200,-0.009400,0.011400,0.497700,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False
1783420172980,1289,9.7096,0.0740,1.3225,0.0024,-0.0000,0.0012,0.740700,-0.117100,-0.646800,-0.139100,-0.2829,0.0570,9.6989,0.0118,0.0033,0.0103,0.943300,0.005800,0.013200,-0.331800,-0.2818,-0.0479,9.7486,-0.0060,0.0073,0.0095,0.867200,-0.009500,0.011400,0.497700,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False
1783420172990,1290,9.7091,0.0644,1.3328,0.0031,0.0018,0.0012,0.740700,-0.117000,-0.646800,-0.139100,-0.2799,0.0186,9.6984,0.0111,0.0021,0.0098,0.943300,0.005800,0.013200,-0.331800,-0.2750,-0.0597,9.7495,-0.0017,0.0064,0.0078,0.867200,-0.009600,0.011400,0.497800,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False
1783420173001,1291,9.7186,0.0541,1.3337,0.0012,0.0006,0.0018,0.740700,-0.117100,-0.646800,-0.139100,-0.2872,0.0438,9.7031,0.0112,0.0032,0.0090,0.943200,0.005800,0.013200,-0.331800,-0.2655,-0.0515,9.7499,-0.0018,0.0051,0.0072,0.867200,-0.009700,0.011400,0.497800,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False
1783420173011,1292,9.7095,0.0835,1.3426,0.0019,0.0031,0.0024,0.740700,-0.117100,-0.646700,-0.139100,-0.3005,0.0295,9.7070,0.0130,0.0018,0.0086,0.943300,0.005800,0.013200,-0.331700,-0.2956,-0.0482,9.7478,-0.0000,0.0038,0.0079,0.867100,-0.009700,0.011400,0.497800,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False
1783420173021,1293,9.6991,0.0639,1.3434,0.0030,-0.0006,0.0013,0.740700,-0.117100,-0.646800,-0.139100,-0.2817,0.0296,9.7079,0.0117,0.0018,0.0074,0.943200,0.005800,0.013100,-0.331900,-0.2992,-0.0672,9.7484,0.0027,0.0060,0.0043,0.867100,-0.009700,0.011400,0.497800,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False
1783420173032,1294,9.7187,0.0629,1.3343,0.0019,0.0024,-0.0000,0.740700,-0.117000,-0.646700,-0.139100,-0.2996,0.0405,9.6857,0.0123,0.0019,0.0086,0.943300,0.005800,0.013200,-0.331700,-0.2894,-0.0581,9.7487,0.0018,0.0024,0.0055,0.867100,-0.009700,0.011400,0.497800,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False
1783420173042,1295,9.7195,0.0819,1.3240,0.0018,-0.0006,0.0019,0.740700,-0.117100,-0.646800,-0.139100,-0.2809,0.0449,9.7057,0.0117,0.0009,0.0050,0.943300,0.005800,0.013200,-0.331500,-0.2776,-0.0397,9.7390,0.0027,0.0048,0.0024,0.867200,-0.009700,0.011400,0.497800,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False
1783420173052,1296,9.7192,0.0717,1.3245,0.0024,0.0018,0.0024,0.740700,-0.117100,-0.646800,-0.139100,-0.2809,0.0478,9.7056,0.0116,-0.0005,0.0033,0.943400,0.005800,0.013100,-0.331400,-0.2888,-0.0373,9.7480,0.0038,0.0029,0.0013,0.867200,-0.009700,0.011400,0.497800,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False
1783420173062,1297,9.7182,0.0525,1.3451,0.0018,0.0012,0.0018,0.740700,-0.117100,-0.646800,-0.139100,-0.3033,0.0348,9.7091,0.0117,0.0007,0.0032,0.943300,0.005800,0.013200,-0.331500,-0.2913,-0.0560,9.7389,0.0051,0.0027,-0.0005,0.867200,-0.009600,0.011400,0.497700,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False
1783420173073,1298,9.7187,0.0510,1.3161,0.0018,0.0006,0.0018,0.740700,-0.117100,-0.646800,-0.139100,-0.2940,0.0384,9.7190,0.0112,0.0013,0.0025,0.943300,0.005800,0.013100,-0.331700,-0.2825,-0.0660,9.7302,0.0055,0.0003,0.0008,0.867200,-0.009600,0.011400,0.497700,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False
1783420173083,1299,9.7183,0.0618,1.3549,0.0024,0.0006,0.0018,0.740700,-0.117100,-0.646800,-0.139100,-0.2843,0.0331,9.6910,0.0129,0.0009,0.0063,0.943300,0.005900,0.013000,-0.331500,-0.2920,-0.0535,9.7389,0.0043,0.0023,0.0038,0.867200,-0.009500,0.011400,0.497700,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False
1783420173104,1301,9.7189,0.0601,1.3160,0.0018,-0.0006,0.0012,0.740700,-0.117000,-0.646800,-0.139100,-0.2675,0.0309,9.7131,0.0117,0.0016,0.0062,0.943300,0.005800,0.013100,-0.331500,-0.2813,-0.0340,9.7438,0.0022,0.0033,0.0040,0.867300,-0.009500,0.011400,0.497600,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False
1783420173115,1302,9.7184,0.0609,1.3456,0.0019,0.0031,0.0018,0.740700,-0.117000,-0.646800,-0.139100,-0.2981,0.0244,9.6948,0.0123,0.0020,0.0098,0.943300,0.005800,0.013100,-0.331800,-0.3053,-0.0604,9.7385,-0.0006,0.0045,0.0079,0.867200,-0.009600,0.011400,0.497700,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False
1783420173126,1303,9.7087,0.0605,1.3361,0.0018,0.0012,0.0012,0.740700,-0.117000,-0.646800,-0.139100,-0.2971,0.0370,9.6926,0.0130,0.0026,0.0098,0.943300,0.005900,0.013000,-0.331600,-0.2738,-0.0458,9.7204,-0.0036,0.0059,0.0089,0.867200,-0.009700,0.011400,0.497700,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False
1783420173136,1304,9.7092,0.0696,1.3262,0.0018,0.0000,0.0018,0.740700,-0.117000,-0.646800,-0.139100,-0.2868,0.0525,9.7098,0.0124,0.0025,0.0091,0.943300,0.005800,0.013200,-0.331500,-0.2970,-0.0529,9.7388,-0.0012,0.0051,0.0072,0.867200,-0.009700,0.011400,0.497800,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False
1783420173147,1305,9.7190,0.0789,1.3358,0.0012,0.0006,0.0024,0.740700,-0.117000,-0.646800,-0.139100,-0.2902,0.0323,9.6952,0.0124,0.0023,0.0073,0.943400,0.005900,0.013200,-0.331300,-0.2706,-0.0558,9.7603,-0.0011,0.0051,0.0066,0.867200,-0.009700,0.011400,0.497800,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False
1783420173157,1306,9.7185,0.0690,1.3462,0.0024,0.0012,0.0024,0.740700,-0.117000,-0.646800,-0.139000,-0.3022,0.0340,9.7254,0.0105,0.0013,0.0074,0.943400,0.005900,0.013200,-0.331300,-0.2724,-0.0660,9.7508,0.0001,0.0050,0.0054,0.867200,-0.009800,0.011400,0.497800,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False
1783420173168,1307,9.6993,0.0684,1.3268,0.0013,0.0031,0.0018,0.740700,-0.117000,-0.646700,-0.139000,-0.2816,0.0389,9.7051,0.0142,0.0022,0.0074,0.943400,0.005900,0.013100,-0.331400,-0.2921,-0.0535,9.7588,0.0000,0.0032,0.0054,0.867200,-0.009800,0.011400,0.497800,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False
1783420173178,1308,9.7285,0.0672,1.3277,0.0012,0.0000,0.0018,0.740700,-0.117100,-0.646700,-0.139000,-0.2818,0.0398,9.6956,0.0111,0.0010,0.0056,0.943400,0.005900,0.013100,-0.331400,-0.2911,-0.0546,9.7296,0.0007,0.0044,0.0061,0.867200,-0.009800,0.011400,0.497800,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False
